ano,mes,data,regiao,uf,cultura,area_plantada_ha,producao_toneladas,produtividade,chuva_mm,temperatura_media,valor_producao,exportacoes,nivel_produtividade
2015,1,2015-01-01,Norte,AM,Soja,56178.98,149011.52,60.93,72.7,25.3,390057863.69,63579.35,Médio
2015,1,2015-01-01,Norte,PA,Algodão,33516.34,109324.08,38.76,36.9,27.8,430406997.75,135584.38,Baixo
2015,1,2015-01-01,Norte,PA,Algodão,74312.45,443035.51,52.04,239.7,21.6,372680292.07,115502.69,Muito Alto
2015,1,2015-01-01,Norte,RO,Algodão,4118.85,166562.07,45.9,80.6,24.3,200876082.98,161191.5,Muito Alto
2015,1,2015-01-01,Norte,TO,Milho,37974.02,5109.6,33.48,185.6,24.8,389951494.63,134965.05,Alto
2015,1,2015-01-01,Nordeste,BA,Arroz,58963.01,436001.42,48.22,181.9,33.6,118966222.68,124057.77,Baixo
2015,1,2015-01-01,Nordeste,BA,Milho,76567.78,232736.16,5.05,93.7,29.9,309250010.76,69135.73,Médio
2015,1,2015-01-01,Nordeste,PE,Arroz,4987.51,156882.54,40.3,150.0,21.1,92092735.94,146557.58,Muito Alto
2015,1,2015-01-01,Nordeste,PE,Arroz,43920.1,48426.52,44.63,129.5,28.1,413474831.5,221449.74,Baixo
2015,1,2015-01-01,Nordeste,CE,Soja,35502.52,416863.86,66.77,45.0,20.5,288453395.28,199147.13,Baixo
2015,1,2015-01-01,Nordeste,CE,Cana-de-açúcar,67457.08,233826.61,68.89,76.0,29.3,78635355.84,137435.45,Médio
2015,1,2015-01-01,Nordeste,MA,Milho,29278.31,359557.3,24.52,52.0,27.3,347115449.07,204543.94,Muito Alto
2015,1,2015-01-01,Nordeste,PB,Cana-de-açúcar,67415.34,288579.18,62.27,34.2,28.8,75732967.54,175557.09,Muito Alto
2015,1,2015-01-01,Centro-Oeste,DF,Algodão,24097.02,37624.35,32.11,100.7,22.1,273209682.65,197464.21,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Algodão,8216.0,439570.71,10.86,128.4,19.8,2622648.01,123397.01,Alto
2015,1,2015-01-01,Centro-Oeste,GO,Algodão,74982.35,26315.09,22.55,45.7,22.9,47307432.19,170081.74,Baixo
2015,1,2015-01-01,Centro-Oeste,MT,Feijão,35157.82,418266.07,63.59,178.7,19.1,446067657.45,62755.74,Muito Alto
2015,1,2015-01-01,Centro-Oeste,MS,Algodão,49508.37,325684.09,58.01,130.7,31.9,277304602.47,183293.7,Muito Alto
2015,1,2015-01-01,Sudeste,SP,Cana-de-açúcar,13111.56,333179.39,30.77,36.5,15.7,457080161.36,103617.11,Muito Alto
2015,1,2015-01-01,Sudeste,SP,Milho,67597.67,64430.63,60.07,88.6,22.8,315333767.67,238738.75,Alto
2015,1,2015-01-01,Sudeste,SP,Cana-de-açúcar,59165.39,372007.26,49.73,128.6,17.5,133088170.95,18673.81,Médio
2015,1,2015-01-01,Sudeste,RJ,Café,24771.29,434814.91,15.52,30.8,26.0,414453429.5,124399.41,Alto
2015,1,2015-01-01,Sudeste,RJ,Cana-de-açúcar,46939.51,33824.78,16.03,111.9,28.8,371895607.57,107459.98,Baixo
2015,1,2015-01-01,Sudeste,RJ,Café,72778.89,426233.05,35.15,52.8,25.4,402577507.91,92379.1,Médio
2015,1,2015-01-01,Sudeste,RJ,Feijão,69337.73,132935.0,27.09,173.4,22.5,154663219.45,198788.03,Alto
2015,1,2015-01-01,Sudeste,MG,Cana-de-açúcar,42618.4,289315.28,77.47,90.8,27.5,84259988.0,13867.23,Baixo
2015,1,2015-01-01,Sudeste,MG,Algodão,68022.87,191662.48,54.79,44.4,22.3,347690794.09,100765.41,Muito Alto
2015,1,2015-01-01,Sudeste,MG,Arroz,64889.67,295916.14,39.77,124.3,28.1,27812009.57,21719.93,Muito Alto
2015,1,2015-01-01,Sudeste,ES,Arroz,58318.83,496392.21,13.61,211.4,27.2,108575659.96,1240.58,Médio
2015,1,2015-01-01,Sudeste,ES,Soja,74339.0,369069.63,56.01,196.5,26.8,371499581.51,109638.89,Médio
2015,1,2015-01-01,Sudeste,ES,Feijão,6334.17,182789.3,13.05,188.5,24.7,108866401.27,38487.3,Alto
2015,1,2015-01-01,Sul,PR,Arroz,9131.98,12020.87,54.21,141.7,25.0,93260419.06,111676.01,Alto
2015,1,2015-01-01,Sul,PR,Soja,23183.39,75768.86,52.46,52.9,27.1,179203755.59,78153.14,Baixo
2015,1,2015-01-01,Sul,SC,Café,40270.44,400912.23,17.84,241.7,30.3,50145269.76,151187.49,Médio
2015,1,2015-01-01,Sul,SC,Café,54388.89,92942.69,19.19,108.9,27.6,110432535.17,230234.9,Médio
2015,1,2015-01-01,Sul,RS,Feijão,21370.16,383365.96,69.91,77.7,24.8,227315405.87,43483.0,Médio
